seq,stateDt,stateTime,decideCnt,clearCnt,examCnt,deathCnt,careCnt,resutlNegCnt,accExamCnt,accExamCompCnt,accDefRate,createDt,updateDt
106,20200414,0:00,10564,7534,14651,222,2808,502223,527438,512787,2.060114628,23:15.1,
107,20200415,0:00,10591,7616,15026,225,2750,508935,534552,519526,2.038589022,34:34.3,
108,20200416,0:00,10613,7757,14268,229,2627,513894,538775,524507,2.023423901,55:17.2,
109,20200417,0:00,10635,7829,14186,230,2576,521642,546463,532277,1.998019828,32:02.0,
110,20200418,0:00,10653,7937,13550,232,2484,530631,554834,541284,1.968098078,44:12.1,
111,20200419,0:00,10661,8042,12243,234,2385,536205,559109,546866,1.949472083,27:30.3,
112,20200420,0:00,10674,8114,11981,236,2324,540380,563035,551054,1.937015247,26:59.6,
113,20200421,0:00,10683,8213,12721,237,2233,547610,571014,558293,1.913511364,11:58.6,
114,20200422,0:00,10694,8277,12121,238,2179,555144,577959,565838,1.88994023,20:28.3,
115,20200423,0:00,10702,8411,10139,240,2051,563130,583971,573832,1.865005786,11:05.0,
116,20200424,0:00,10708,8501,9600,240,1967,569212,589520,579920,1.846461581,11:08.1,
117,20200425,0:00,12801,10718,9259,240,1843,575184,597244,587985,2.177096354,39:03.0,
118,20200425,0:00,10718,8635,9259,240,1843,575184,595161,585902,1.829316166,57:05.0,
119,20200425,0:00,10718,8635,9259,240,1843,575184,595161,585902,1.829316166,58:08.1,
120,20200426,0:00,10728,8717,8999,242,1769,578558,598285,589286,1.820508208,12:24.2,
121,20200427,0:00,10738,8764,8895,243,1731,582027,601660,592765,1.811510464,12:27.3,
122,20200428,0:00,10752,8854,9203,244,1654,588559,608514,599311,1.794060179,22:16.0,null
123,20200429,0:00,10761,8922,8307,246,1593,595129,614197,605890,1.776064962,26:00.3,null
124,20200430,0:00,10765,9059,8634,247,1459,600482,619881,611247,1.761153838,12:41.9,null
125,20200501,0:00,10774,9072,8685,248,1454,603610,623069,614384,1.753626397,24:38.0,null
126,20200502,0:00,10780,9123,8496,250,1407,608286,627562,619066,1.741332911,22:19.5,null
127,20200503,0:00,10793,9183,8588,250,1360,611592,630973,622385,1.734135623,54:37.4,null
128,20200504,0:00,10801,9217,8176,252,1332,614944,633921,625745,1.726102486,11:32.1,null
129,20200505,0:00,10804,9283,8858,254,1267,620575,640237,631379,1.711175063,20:41.1,null
130,20200506,0:00,10806,9333,8009,255,1218,624280,643095,635086,1.701501844,16:11.2,null
131,20200507,0:00,10810,9419,8429,256,1135,630149,649388,640959,1.686535332,43:55.6,null
132,20200508,0:00,10822,9484,8867,256,1082,635174,654863,645996,1.675242571,18:50.4,null
133,20200509,0:00,10840,9568,9153,256,1016,640037,660030,650877,1.665445238,17:14.7,null
134,20200510,0:00,10874,9610,10128,256,1008,642884,663886,653758,1.663306606,14:56.1,null
135,20200511,0:00,10909,9632,10922,256,1021,646661,668492,657570,1.658986876,25:58.1,null
136,20200512,0:00,10936,9670,16330,258,1008,653624,680890,664560,1.645600096,12:13.8,null
137,20200513,0:00,10962,9695,19579,259,1008,665379,695920,676341,1.62078005,41:14.6,null
138,20200514,0:00,10991,9762,20722,260,969,679771,711484,690762,1.591141377,18:24.7,null
139,20200515,0:00,11018,9821,19875,260,937,695854,726747,706872,1.558698039,33:33.8,null
140,20200516,0:00,11037,9851,18343,262,924,711265,740645,722302,1.528031211,19:43.6,40:31.4
141,20200517,0:00,11050,9888,17660,262,900,718943,747653,729993,1.513713145,12:11.3,null
142,20200518,0:00,11065,9904,16093,263,898,726053,753211,737118,1.501116511,18:09.2,null
143,20200519,0:00,11078,9938,16925,263,877,737571,765574,748649,1.479732158,22:38.5,null
144,20200520,0:00,11110,10066,16351,263,781,748972,776433,760082,1.461684397,13:17.2,null
145,20200521,0:00,11122,10135,18089,264,723,759473,788684,770595,1.443300307,24:06.6,null
146,20200522,0:00,11142,10162,20286,264,716,770990,802418,782132,1.42456772,15:38.1,null
147,20200523,0:00,11165,10194,21569,266,705,781686,814420,792851,1.408209109,34:53.9,null
148,20200524,0:00,11190,10213,20333,266,711,788766,820289,799956,1.398826935,29:09.7,null
149,20200525,0:00,11206,10226,19089,267,713,796142,826437,807348,1.388001209,27:08.0,null
150,20200526,0:00,11225,10275,22044,269,681,806206,839475,817431,1.373204589,12:48.7,null
151,20200527,0:00,11265,10295,21061,269,701,820550,852876,831815,1.354267475,16:33.1,null
152,20200528,0:00,11344,10340,22370,269,735,834952,868666,846296,1.340429353,11:27.9,null
153,20200529,0:00,11402,10363,24557,269,770,849161,885120,860563,1.324946576,10:53.1,null
154,20200530,0:00,11441,10398,26298,269,774,865162,902901,876603,1.305151819,12:26.8,null
155,20200531,0:00,11468,10405,23294,270,793,876060,910822,887528,1.292128248,22:37.9,null
156,20200601,0:00,11503,10422,24058,271,810,885830,921391,897333,1.281909837,13:09.7,null
157,20200602,0:00,11541,10446,28922,272,823,899388,939851,910929,1.266948357,15:46.2,null
158,20200603,0:00,11590,10467,27865,273,850,917397,956852,928987,1.247595499,25:46.3,null
159,20200604,0:00,11629,10499,28199,273,857,934030,973858,945659,1.229724457,27:45.9,null
160,20200605,0:00,11668,10506,28766,273,889,950526,990960,962194,1.212645267,56:50.9,null
161,20200606,0:00,11719,10531,27954,273,915,965632,1005305,977351,1.199057452,49:23.1,null
162,20200607,0:00,11776,10552,26481,273,951,974512,1012769,986288,1.193971741,20:09.0,null
163,20200608,0:00,11814,10563,24374,273,978,982026,1018214,993840,1.188722531,14:00.8,null
164,20200609,0:00,11852,10589,27459,274,989,996686,1035997,1008538,1.175166429,08:46.5,null
165,20200610,0:00,11902,10611,26223,276,1015,1013847,1051972,1025749,1.160322847,13:47.6,null
166,20200611,0:00,11947,10654,25494,276,1017,1029447,1066888,1041394,1.147212294,30:28.3,null
167,20200612,0:00,12003,10669,24244,277,1057,1045240,1081487,1057243,1.135311371,22:23.3,null
168,20200613,0:00,12051,10691,23352,277,1083,1059301,1094704,1071352,1.124840389,11:42.8,null
169,20200614,0:00,12085,10718,21356,277,1090,1066887,1100328,1078972,1.120047601,19:17.7,null
170,20200615,0:00,12121,10730,20793,277,1114,1072805,1105719,1084926,1.117219055,16:22.3,null
171,20200616,0:00,12155,10760,22632,278,1117,1084980,1119767,1097135,1.107885538,16:46.7,null
172,20200617,0:00,12198,10774,21489,279,1145,1099136,1132823,1111334,1.097599821,14:34.4,null
173,20200618,0:00,12257,10800,21714,280,1177,1111741,1145712,1123998,1.090482367,12:45.4,null
174,20200619,0:00,12306,10835,21190,280,1191,1124567,1158063,1136873,1.082442806,32:23.7,null
175,20200620,0:00,12373,10856,21470,280,1237,1137058,1170901,1149431,1.07644565,14:21.6,null
176,20200621,0:00,12421,10868,20071,280,1273,1143971,1176463,1156392,1.074116736,10:23.2,null
177,20200622,0:00,12438,10881,19403,280,1277,1150225,1182066,1162663,1.069785484,40:10.6,null
178,20200623,0:00,12484,10908,22278,281,1295,1161250,1196012,1173734,1.063614073,41:14.0,null
179,20200624,0:00,12535,10930,20245,281,1324,1175817,1208597,1188352,1.05482214,31:42.8,null
180,20200625,0:00,12563,10974,18900,282,1307,1189015,1220478,1201578,1.045541779,19:08.9,null
181,20200626,0:00,12602,11172,18828,282,1148,1200885,1232315,1213487,1.03849485,13:35.5,null
182,20200627,0:00,12653,11317,19866,282,1054,1211261,1243780,1223914,1.033814467,47:04.6,null
183,20200628,0:00,12715,11364,19005,282,1069,1219975,1251695,1232690,1.03148399,29:27.3,null
184,20200629,0:00,12757,11429,18499,282,1046,1228698,1259954,1241455,1.027584568,29:35.5,00:25.8
185,20200630,0:00,12800,11537,20809,282,981,1240157,1273766,1252957,1.021583342,19:14.2,null
186,20200701,0:00,12850,11613,19526,282,955,1252855,1285231,1265705,1.015244468,35:05.5,null
187,20200702,0:00,12904,11684,19782,282,938,1263276,1295962,1276180,1.011142629,27:02.5,null
188,20200703,0:00,12967,11759,21560,282,926,1273234,1307761,1286201,1.008162799,19:07.9,null
189,20200704,0:00,13030,11811,22321,283,936,1284172,1319523,1297202,1.00446962,13:42.5,null
190,20200705,0:00,13091,11832,21649,283,976,1291315,1326055,1304406,1.003598573,25:25.5,null
191,20200706,0:00,13137,11848,21292,284,1005,1297367,1331796,1310504,1.002438756,42:19.9,null
192,20200707,0:00,13181,11914,23675,285,982,1309338,1346194,1322519,0.996658649,15:15.3,null
193,20200708,0:00,13244,11970,24012,285,989,1322479,1359735,1335723,0.991522943,19:47.4,null
194,20200709,0:00,13293,12019,23912,287,987,1334566,1371771,1347859,0.986230756,50:30.0,null
195,20200710,0:00,13338,12065,23527,288,985,1348025,1384890,1361363,0.97975338,16:34.9,null
196,20200711,0:00,13373,12144,22950,288,941,1360618,1396941,1373991,0.973296041,24:19.5,null
197,20200712,0:00,13417,12178,21830,289,950,1366897,1402144,1380314,0.972025206,21:53.3,null
198,20200713,0:00,13479,12204,21845,289,986,1372988,1408312,1386467,0.972183254,20:51.9,null
199,20200714,0:00,13512,12282,24289,289,941,1382815,1420616,1396327,0.967681639,42:51.8,null
200,20200715,0:00,13551,12348,23297,289,914,1394468,1431316,1408019,0.96241599,38:15.0,null
201,20200716,0:00,13612,12396,23404,291,925,1404332,1441348,1417944,0.959981494,44:37.8,null
202,20200717,0:00,13672,12460,23110,293,919,1414235,1451017,1427907,0.957485326,40:48.7,null
203,20200718,0:00,13711,12519,22923,294,898,1423570,1460204,1437281,0.953954028,13:20.7,null
204,20200719,0:00,13745,12556,21953,295,894,1429601,1465299,1443346,0.952301111,19:04.1,null
205,20200720,0:00,13771,12572,21302,296,903,1435120,1470193,1448891,0.950451069,55:19.9,null
206,20200721,0:00,13816,12643,23864,296,877,1444710,1482390,1458526,0.947257711,07:32.3,null
207,20200722,0:00,13879,12698,21751,297,884,1456441,1492071,1470320,0.943944175,27:17.2,null
